	0
YDL046W_fc_intermediate_1	1
YDL048C_fc	1
YDL048C_fc_intermediate_1	1
YDL048C_fc_intermediate_2	1
YDL049C_fc	1
YDL051W_fc	1
YDL052C_fc	1
YDL053C_fc	1
YDL054C_fc	1
YDL055C_fc	1
YDL055C_fc_intermediate_1	1
YDL055C_fc_intermediate_2	1
YDL055C_fc_intermediate_3	1
YDL056W_fc	1
YDL061C_fc	1
YDL063C_fc	1
YDL063C_fc_intermediate_1	1
YDL064W_fc	1
YDL066W_fc	1
YDL066W_fc_andNotIntermediate	1
YDL066W_fc_intermediate_1	1
YDL066W_fc_intermediate_2	1
YDL066W_fc_intermediate_3	1
YDL067C_fc	1
YDL070W_fc	1
YDL072C_fc	1
YDL074C_fc	1
YDL075W_fc	1
YDL075W_fc_intermediate_1	1
YDL076C_fc	1
YDL076C_fc_intermediate_1	1
YDL076C_fc_intermediate_2	1
YDL078C_fc	1
YDL078C_fc_intermediate_1	1
YDL078C_fc_intermediate_2	1
YDL081C_fc	1
YDL082W_fc	1
YDL083C_fc	1
YDL083C_fc_intermediate_1	1
YDL084W_fc	1
YDL086W_fc	1
YDL088C_fc	1
YDL090C_fc	1
YDL091C_fc	1
YDL092W_fc	1
YDL095W_fc	1
YDL097C_fc	1
YDL099W_fc	1
YDL100C_fc	1
YDL103C_fc	1
YDL106C_fc	1
YDL110C_fc	1
YDL110C_fc_intermediate_1	1
YDL110C_fc_intermediate_2	1
YDL113C_fc	1
YDL115C_fc	1
YDL117W_fc	1
YDL120W_fc	1
YDL121C_fc	1
YDL122W_fc	1
YDL123W_fc	1
YDL123W_fc_intermediate_1	1
YDL124W_fc	1
YDL124W_fc_intermediate_1	1
YDL124W_fc_intermediate_2	1
YDL125C_fc	1
YDL125C_fc_intermediate_1	1
YDL125C_fc_intermediate_2	1
YDL126C_fc	1
YDL127W_fc	0
YDL128W_fc	1
YDL128W_fc_intermediate_1	1
YDL128W_fc_intermediate_2	1
YDL128W_fc_intermediate_3	1
YDL130W_fc	1
YDL131W_fc	1
YDL133W_fc	1
YDL134C_fc	1
YDL135C_fc	1
YDL136W_fc	1
YDL137W_fc	1
YDL140C_fc	1
YDL142C_fc	1
YDL143W_fc	1
YDL145C_fc	1
YDL147W_fc	1
YDL148C_fc	1
YDL155W_fc	1
YDL157C_fc	1
YDL157C_fc_intermediate_1	1
YDL157C_fc_intermediate_2	1
